City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,77.31,clear sky,-9.8,-139.0333,Villa Enata
1,Thompson,CA,77.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
2,Meulaboh,ID,75.07,broken clouds,4.1363,96.1285,Kost Pria
4,Victoria,HK,86.38,broken clouds,22.2855,114.1577,Mini Central
5,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
6,Half Moon Bay,US,84.87,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
7,Hithadhoo,MV,82.99,overcast clouds,-0.6,73.0833,Scoop Guest House
8,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
9,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
10,Jamestown,US,76.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Hilo,US,87.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
12,Vieste,IT,76.01,few clouds,41.8825,16.175,Hotel Falcone
13,Samarai,PG,76.37,overcast clouds,-10.6167,150.6667,Nuli Sapi
14,Boulder,US,87.46,scattered clouds,40.0833,-105.3505,Deck House Boulder
15,Xintai,CN,80.33,overcast clouds,35.9006,117.7519,银座佳驿酒店
16,Mecca,SA,88.9,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
17,Ilebo,CD,77.59,scattered clouds,-4.3167,20.5833,Hôtel BUMAK
18,Naliya,IN,81.88,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
19,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
20,Butaritari,KI,81.97,light rain,3.0707,172.7902,Isles Sunset Lodge
21,Alta Floresta,BR,78.35,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
23,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,La Orilla,MX,85.87,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
25,Sioux Lookout,CA,75.27,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
26,Houma,US,84.2,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
28,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
29,Takoradi,GH,75.0,broken clouds,4.8845,-1.7554,Raybow International Hotel
30,Hamilton,US,85.05,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
31,Kirakira,SB,82.35,scattered clouds,-10.4544,161.9205,SanBiz Lodge
32,Jiazi,CN,83.32,overcast clouds,22.8779,116.067,Hotel Jin Hao
33,Bambanglipuro,ID,75.24,scattered clouds,-7.95,110.2833,Puri Brata
34,Elat,IL,85.84,clear sky,29.5581,34.9482,Club Hotel Eilat
35,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
36,Jacareacanga,BR,80.04,clear sky,-6.2222,-57.7528,Casa do Ian😎
37,Bengkulu,ID,76.01,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
38,Loreto,MX,76.15,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
39,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
40,Kavieng,PG,82.71,light rain,-2.5744,150.7967,Nusa Island Retreat
41,Bethel,US,84.76,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
42,Cockburn Town,TC,81.77,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
43,Mombaca,BR,76.05,scattered clouds,-5.7431,-39.6275,Mombaça Premium Hotel
44,Lompoc,US,88.79,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
45,Luganville,VU,81.79,few clouds,-15.5333,167.1667,The Espiritu Hotel
46,Qixia,CN,78.73,broken clouds,37.2975,120.8256,Etsong Hotel
47,Porto Novo,BJ,75.81,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
48,Tautira,PF,75.36,light rain,-17.7333,-149.15,Pension Oaoa
49,San Angelo,US,85.95,broken clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
50,Santa Maria Da Vitoria,BR,75.54,clear sky,-13.3947,-44.1886,Pousada Rio Current
51,Isangel,VU,75.31,overcast clouds,-19.55,169.2667,Tanna Lodge
52,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Ajdabiya,LY,75.56,clear sky,30.7554,20.2263,Almadina Hotel
54,Tuy Hoa,VN,78.04,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
55,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
56,Buchanan,LR,75.56,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
57,Mozarlandia,BR,80.35,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
59,Boulsa,BF,84.22,light rain,12.6675,-0.5758,Auberge Relwende
60,Varkkallai,IN,80.38,broken clouds,8.7341,76.7067,Hindustan Beach Retreat
61,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
62,Huilong,CN,82.63,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
63,Mayo,US,88.36,clear sky,38.8876,-76.5119,Resorts Resource Group International
64,Panalingaan,PH,79.63,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
65,Flin Flon,CA,80.44,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
66,Mogadishu,SO,76.68,light rain,2.0371,45.3438,Hotel Juba
67,Matara,LK,75.33,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
68,Sur,OM,89.42,broken clouds,22.5667,59.5289,Sur Plaza Hotel
69,Livramento,BR,83.07,few clouds,-3.0254,-60.1803,Refúgio Samauma
70,Majene,ID,75.38,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
71,Sinnamary,GF,77.94,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
72,Katobu,ID,75.51,overcast clouds,-4.9408,122.5276,La Ode Husein
73,Katsuura,JP,75.22,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
74,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
75,Medicine Hat,CA,87.22,few clouds,50.0501,-110.6683,Ramada Limited Medicine Hat
76,Lorengau,PG,82.0,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
77,Portland,US,87.62,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
78,Vanimo,PG,79.81,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
79,Dingle,PH,78.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
80,Tiebissou,CI,75.29,overcast clouds,7.1574,-5.2257,Hotel Ngoa
