,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fort Dodge,US,42.4975,-94.168,90.01,51,0,12.66,clear sky
1,Babaeski,TR,41.4325,27.0931,66.09,55,0,4.5,clear sky
2,Cape Town,ZA,-33.9258,18.4232,57.9,82,10,5.99,clear sky
3,Nouadhibou,MR,20.931,-17.0347,69.78,88,21,12.66,few clouds
4,Atuona,PF,-9.8,-139.0333,77.31,72,9,14.41,clear sky
5,Hermanus,ZA,-34.4187,19.2345,51.8,82,10,5.91,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,32.11,93,75,2.3,broken clouds
7,Dikson,RU,73.5069,80.5464,42.57,76,35,9.82,scattered clouds
8,Castro,BR,-24.7911,-50.0119,59.05,76,40,3.42,scattered clouds
9,Pevek,RU,69.7008,170.3133,33.42,86,7,13.27,clear sky
10,Fernley,US,39.608,-119.2518,101.57,6,8,10.0,clear sky
11,Thompson,CA,55.7435,-97.8558,77.16,41,75,11.5,broken clouds
12,Meulaboh,ID,4.1363,96.1285,75.07,88,83,5.1,broken clouds
13,Chicama,PE,-7.8447,-79.1469,59.54,77,4,10.42,clear sky
14,Bredasdorp,ZA,-34.5322,20.0403,50.36,85,30,1.83,scattered clouds
15,Yellowknife,CA,62.456,-114.3525,68.52,52,75,19.57,light intensity shower rain
16,East London,ZA,-33.0153,27.9116,59.14,67,3,11.68,clear sky
17,Rikitea,PF,-23.1203,-134.9692,67.73,75,100,2.06,overcast clouds
18,Qaanaaq,GL,77.484,-69.3632,46.98,79,38,7.25,scattered clouds
19,Albany,US,42.6001,-73.9662,79.36,48,65,8.37,broken clouds
20,Victoria,HK,22.2855,114.1577,86.38,84,78,3.0,broken clouds
21,Nebbi,UG,2.4783,31.0889,71.29,54,99,2.93,overcast clouds
22,Walvis Bay,NA,-22.9575,14.5053,55.09,54,0,3.11,clear sky
23,Hovd,MN,48.0056,91.6419,52.27,61,36,4.07,scattered clouds
24,Amapa,BR,1.0,-52.0,72.18,99,30,2.42,scattered clouds
25,Mar Del Plata,AR,-38.0023,-57.5575,54.09,98,100,15.99,mist
26,Vaini,TO,-21.2,-175.2,80.76,89,20,10.36,few clouds
27,Half Moon Bay,US,37.4636,-122.4286,84.87,67,100,19.57,haze
28,Longyearbyen,SJ,78.2186,15.6401,55.24,71,75,16.11,broken clouds
29,Hithadhoo,MV,-0.6,73.0833,82.99,75,99,13.38,overcast clouds
30,Mahebourg,MU,-20.4081,57.7,69.26,88,75,16.11,light intensity shower rain
31,Monrovia,LR,6.3005,-10.7969,76.77,85,100,10.96,overcast clouds
32,Ponta Do Sol,PT,32.6667,-17.1,72.01,78,22,5.73,few clouds
33,Bathsheba,BB,13.2167,-59.5167,83.01,95,40,18.41,scattered clouds
34,Kaitangata,NZ,-46.2817,169.8464,39.25,95,100,7.23,overcast clouds
35,Jamestown,US,42.097,-79.2353,76.59,45,0,9.22,clear sky
36,Hilo,US,19.7297,-155.09,87.28,74,40,5.75,scattered clouds
37,Simpang,ID,-1.2667,104.0833,73.45,99,68,2.26,broken clouds
38,Geraldton,AU,-28.7667,114.6,52.21,87,24,6.91,few clouds
39,Cherskiy,RU,68.75,161.3,52.97,47,62,1.1,broken clouds
40,Gamba,GA,-2.65,10.0,69.13,94,1,4.47,clear sky
41,Provideniya,RU,64.3833,-173.3,55.51,67,0,13.42,clear sky
42,Hobart,AU,-42.8794,147.3294,45.05,95,75,2.3,fog
43,Vieste,IT,41.8825,16.175,76.01,55,11,5.46,few clouds
44,Nikolskoye,RU,59.7035,30.7861,57.79,96,99,4.47,overcast clouds
45,Barrow,US,71.2906,-156.7887,35.62,75,100,8.05,overcast clouds
46,Fort Nelson,CA,58.8053,-122.7002,72.99,35,75,5.75,broken clouds
47,Kizukuri,JP,40.8061,140.3861,73.81,96,100,7.38,overcast clouds
48,Samarai,PG,-10.6167,150.6667,76.37,70,100,19.66,overcast clouds
